#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf60.16.100
#tb 0: 1/24
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1920x1080
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  3110400, fe2e2d28db1d43adfa86adb7474a9600
0,          1,          1,        1,  3110400, 621c5233799ec5a8db67755053c3dfed
0,          2,          2,        1,  3110400, df6ccb30aa857eb00f594cd6cd165b3e
0,          3,          3,        1,  3110400, fdcd82316759b4439a2ec9676d63d1cb
0,          4,          4,        1,  3110400, 37d5b5283f3ee4cdeb7d9bbea23aee10
0,          5,          5,        1,  3110400, bf6d0de40ad7df198ad8b74f92995639
0,          6,          6,        1,  3110400, 6e1f406d73aec205f2e6b931f9b8e697
0,          7,          7,        1,  3110400, a1fc4cd8fbc78dc62d65b9e4fb9596a6
0,          8,          8,        1,  3110400, 3642a4a196c30ce259b491236d453e7a
0,          9,          9,        1,  3110400, 2776658a1bf953e3b620f987f854181e
0,         10,         10,        1,  3110400, c9339dc61b59d6b7882483dbeac4e9b6
0,         11,         11,        1,  3110400, 3e8e60b3f05bf51ce7354cdf0593a58b
0,         12,         12,        1,  3110400, c0dd7681bc13bd0055ebd300dd3825e8
0,         13,         13,        1,  3110400, 5de2c6120f073b0ebf9405a196c20b37
0,         14,         14,        1,  3110400, 380b82136f380921d6b6b9c7d7be8c98
0,         15,         15,        1,  3110400, ed0a089ef9cdd2cfc27791af5e1429b8
0,         16,         16,        1,  3110400, 038b6e5c17bd33811a6a1b081b01d159
0,         17,         17,        1,  3110400, 1cd9b9ef0c970b261a269a6b7109ac1a
0,         18,         18,        1,  3110400, 0a03c4d7ea34df7356d95f338b4bfe0f
0,         19,         19,        1,  3110400, fa797756e6cd220371abcb375f9d8ab9
0,         20,         20,        1,  3110400, 73ff9f3723862cb889b0d135ae0cfd31
0,         21,         21,        1,  3110400, 5c46413cbc8ea624c28de65c48b57d0b
0,         22,         22,        1,  3110400, 6dc05cbf4c4f0ea98535a65f1284eef5
0,         23,         23,        1,  3110400, 7d45ade5c3475f6d43c133c95058a14a
0,         24,         24,        1,  3110400, 73298af20abdf0cc6325ab43cf292233
0,         25,         25,        1,  3110400, ecee16ed76a0a32adff4772cf7a3697c
0,         26,         26,        1,  3110400, ee3c5223c6dcad9486247953f53b3805
0,         27,         27,        1,  3110400, 2e31d06073269e8c836ef8903e271167
